transaction_id,user_id,amount,timestamp,location,transaction_type,device_id,is_fraud
TXN100000,USER3955,8274.89,2025-02-07 10:26:29,Delhi,merchant_payment,DEV329,0
TXN100001,USER6116,24531.55,2025-01-20 07:07:29,Pune,bill_payment,DEV388,0
TXN100002,USER6506,30264.13,2025-03-23 04:16:29,Chennai,receive,DEV771,0
TXN100003,USER4386,762.08,2025-03-31 21:30:29,Mumbai,merchant_payment,DEV403,0
TXN100004,USER4055,167991.21,2025-03-14 06:29:29,Bangalore,receive,DEV620,0
TXN100005,USER8705,76314.4,2025-03-13 14:49:29,Jaipur,bill_payment,DEV105,0
TXN100006,USER6286,36656.55,2025-03-07 12:03:29,Delhi,send,DEV233,0
TXN100007,USER6621,87872.87,2025-03-15 10:51:29,Hyderabad,bill_payment,DEV253,0
TXN100008,USER2606,105304.03,2025-01-24 15:09:29,Jaipur,merchant_payment,DEV855,0
TXN100009,USER8047,184369.73,2025-02-11 12:51:29,Chennai,merchant_payment,DEV473,0
TXN100010,USER3871,8632.97,2025-03-04 11:09:29,Kolkata,bill_payment,DEV222,0
TXN100011,USER7322,53277.59,2025-02-12 01:57:29,Pune,bill_payment,DEV195,0
TXN100012,USER2185,56926.99,2025-02-09 07:35:29,Jaipur,receive,DEV604,0
TXN100013,USER4585,73730.44,2025-03-28 23:43:29,Jaipur,send,DEV836,0
TXN100014,USER9456,197933.65,2025-03-24 23:43:29,Hyderabad,send,DEV541,0
TXN100015,USER2924,50676.34,2025-03-09 10:32:29,Mumbai,bill_payment,DEV490,0
TXN100016,USER7003,160756.13,2025-03-09 02:23:29,Ahmedabad,bill_payment,DEV170,1
TXN100017,USER9855,71969.9,2025-03-13 11:01:29,Mumbai,send,DEV175,0
TXN100018,USER7735,95900.51,2025-02-01 03:30:29,Pune,receive,DEV432,0
TXN100019,USER7822,74561.09,2025-03-06 16:36:29,Bangalore,merchant_payment,DEV909,0
TXN100020,USER1192,125624.16,2025-01-20 03:22:29,Pune,self_transfer,DEV166,1
TXN100021,USER5012,65212.15,2025-02-25 18:49:29,Chennai,bill_payment,DEV524,0
TXN100022,USER7895,55057.87,2025-03-30 08:38:29,Pune,merchant_payment,DEV463,0
TXN100023,USER5612,139580.91,2025-01-07 01:13:29,Ahmedabad,send,DEV656,1
TXN100024,USER7776,55187.04,2025-03-12 10:13:29,Kolkata,send,DEV907,0
TXN100025,USER6849,152197.33,2025-01-27 13:29:29,Mumbai,merchant_payment,DEV408,0
TXN100026,USER4082,69440.2,2025-02-18 00:21:29,Hyderabad,bill_payment,DEV172,0
TXN100027,USER7605,199108.44,2025-03-01 10:31:29,Chennai,self_transfer,DEV588,0
TXN100028,USER3869,147853.32,2025-01-25 21:28:29,Mumbai,merchant_payment,DEV143,0
TXN100029,USER1433,52961.26,2025-02-22 04:05:29,Jaipur,self_transfer,DEV922,0
TXN100030,USER8832,63817.85,2025-01-06 14:36:29,Chennai,merchant_payment,DEV709,0
TXN100031,USER1790,60568.05,2025-01-13 22:41:29,Kolkata,bill_payment,DEV429,0
TXN100032,USER3079,125500.18,2025-01-13 16:30:29,Pune,self_transfer,DEV705,0
TXN100033,USER5096,159057.64,2025-02-27 04:34:29,Kolkata,bill_payment,DEV113,0
TXN100034,USER5052,40581.8,2025-04-06 06:00:29,Kolkata,self_transfer,DEV847,0
TXN100035,USER5629,34449.09,2025-03-04 20:12:29,Kolkata,send,DEV619,0
TXN100036,USER7117,123706.57,2025-03-16 16:19:29,Kolkata,merchant_payment,DEV911,0
TXN100037,USER7200,172703.66,2025-04-04 07:56:29,Ahmedabad,bill_payment,DEV177,0
TXN100038,USER9739,101900.96,2025-03-07 03:58:29,Chennai,receive,DEV416,1
TXN100039,USER6243,160048.83,2025-03-03 17:16:29,Hyderabad,self_transfer,DEV459,0
TXN100040,USER1702,42958.12,2025-01-19 05:21:29,Hyderabad,self_transfer,DEV576,0
TXN100041,USER9451,10050.42,2025-02-16 03:33:29,Hyderabad,receive,DEV480,0
TXN100042,USER6128,134563.29,2025-03-24 04:27:29,Chennai,self_transfer,DEV550,0
TXN100043,USER4241,98241.89,2025-03-13 21:59:29,Delhi,bill_payment,DEV316,0
TXN100044,USER6183,75469.73,2025-01-09 14:51:29,Bangalore,merchant_payment,DEV445,0
TXN100045,USER1142,199882.74,2025-02-21 20:29:29,Ahmedabad,bill_payment,DEV640,0
TXN100046,USER2871,11307.82,2025-01-13 06:15:29,Ahmedabad,receive,DEV423,0
TXN100047,USER8209,177857.01,2025-03-30 14:06:29,Delhi,send,DEV105,0
TXN100048,USER2436,55654.59,2025-03-21 08:35:29,Ahmedabad,bill_payment,DEV646,0
TXN100049,USER6811,174709.84,2025-01-08 00:37:29,Mumbai,self_transfer,DEV540,0
TXN100050,USER7557,35423.67,2025-02-08 07:50:29,Ahmedabad,receive,DEV760,0
TXN100051,USER4825,117025.05,2025-03-06 18:12:29,Hyderabad,receive,DEV909,0
TXN100052,USER3377,125578.55,2025-01-15 09:20:29,Pune,self_transfer,DEV934,0
TXN100053,USER4475,147069.17,2025-03-20 04:07:29,Mumbai,bill_payment,DEV500,0
TXN100054,USER4358,54788.42,2025-01-09 19:15:29,Bangalore,send,DEV368,0
TXN100055,USER8077,18985.78,2025-01-09 11:08:29,Mumbai,receive,DEV685,0
TXN100056,USER3804,170977.79,2025-04-01 00:13:29,Hyderabad,merchant_payment,DEV575,1
TXN100057,USER2203,168703.78,2025-01-07 08:07:29,Delhi,receive,DEV391,0
TXN100058,USER8354,85756.59,2025-01-26 07:10:29,Ahmedabad,send,DEV370,0
TXN100059,USER1671,14089.7,2025-01-22 19:37:29,Bangalore,receive,DEV713,0
TXN100060,USER6247,177034.61,2025-03-08 13:29:29,Mumbai,receive,DEV439,0
TXN100061,USER2666,64256.96,2025-02-12 19:14:29,Mumbai,send,DEV841,0
TXN100062,USER4341,23717.85,2025-02-24 07:17:29,Jaipur,receive,DEV718,0
TXN100063,USER4172,19420.63,2025-02-15 15:46:29,Delhi,receive,DEV656,0
TXN100064,USER6240,131080.04,2025-02-19 01:12:29,Jaipur,merchant_payment,DEV195,1
TXN100065,USER4752,63220.93,2025-01-23 19:54:29,Chennai,self_transfer,DEV374,0
TXN100066,USER7670,17990.04,2025-02-10 05:11:29,Pune,receive,DEV575,0
TXN100067,USER4635,26390.52,2025-03-19 06:02:29,Hyderabad,send,DEV511,0
TXN100068,USER4051,33406.79,2025-02-23 09:11:29,Delhi,receive,DEV694,0
TXN100069,USER1490,196998.19,2025-01-22 21:28:29,Chennai,receive,DEV305,0
TXN100070,USER8866,113062.44,2025-01-23 23:35:29,Jaipur,self_transfer,DEV444,0
TXN100071,USER6716,154018.77,2025-03-07 13:22:29,Hyderabad,self_transfer,DEV578,0
TXN100072,USER7891,152878.44,2025-04-02 03:49:29,Bangalore,receive,DEV382,1
TXN100073,USER7587,89972.91,2025-02-20 15:11:29,Bangalore,receive,DEV690,0
TXN100074,USER1280,84746.38,2025-01-18 20:27:29,Jaipur,self_transfer,DEV696,0
TXN100075,USER6036,55254.78,2025-01-27 18:57:29,Ahmedabad,bill_payment,DEV293,0
TXN100076,USER7775,172476.26,2025-03-15 22:51:29,Delhi,bill_payment,DEV805,0
TXN100077,USER3528,69384.9,2025-01-09 14:50:29,Ahmedabad,receive,DEV716,0
TXN100078,USER8835,122355.99,2025-01-31 16:19:29,Delhi,send,DEV933,0
TXN100079,USER9202,109991.94,2025-04-07 02:46:29,Hyderabad,merchant_payment,DEV995,1
TXN100080,USER4019,188664.81,2025-02-17 06:24:29,Hyderabad,send,DEV640,0
TXN100081,USER2520,47647.89,2025-01-19 15:53:29,Mumbai,bill_payment,DEV517,0
TXN100082,USER5986,148059.66,2025-03-01 21:42:29,Ahmedabad,self_transfer,DEV175,0
TXN100083,USER3712,59319.22,2025-03-04 03:31:29,Bangalore,bill_payment,DEV180,0
TXN100084,USER7614,132336.11,2025-02-18 11:10:29,Mumbai,self_transfer,DEV547,0
TXN100085,USER1421,51561.77,2025-01-12 18:36:29,Hyderabad,receive,DEV432,0
TXN100086,USER7543,185984.44,2025-03-27 21:17:29,Bangalore,bill_payment,DEV973,0
TXN100087,USER1177,187419.42,2025-03-20 08:06:29,Mumbai,merchant_payment,DEV935,0
